sampler,regime,scorer,N,K,n_rows,exact_selected_real,exact_selected_real_se,exact_selected_real_ci_low,exact_selected_real_ci_high,exact_selected_max_coverage,exact_selected_max_coverage_se,exact_selected_max_coverage_ci_low,exact_selected_max_coverage_ci_high,exact_selected_final_coverage,exact_selected_final_coverage_se,exact_selected_final_coverage_ci_low,exact_selected_final_coverage_ci_high,exact_selected_success,exact_selected_success_se,exact_selected_success_ci_low,exact_selected_success_ci_high
ddim_eps,pusht_aligned,uncertainty_aware_critic,4,1,1,0.30729402965305513,0.0,0.30729402965305513,0.30729402965305513,0.3174503492866582,0.0,0.3174503492866582,0.3174503492866582,0.13446466582153419,0.0,0.13446466582153419,0.13446466582153419,0.0,0.0,0.0,0.0
ddim_eps,pusht_aligned,uncertainty_aware_critic,4,8,1,0.3289111583750742,0.0,0.3289111583750742,0.3289111583750742,0.3445620900271433,0.0,0.3445620900271433,0.3445620900271433,0.33556988847639424,0.0,0.33556988847639424,0.33556988847639424,0.0,0.0,0.0,0.0
ddim_eps,pusht_aligned,uncertainty_aware_critic,8,1,1,0.3590973983800396,0.0,0.3590973983800396,0.3590973983800396,0.3677043168914574,0.0,0.3677043168914574,0.3677043168914574,0.19465895637862732,0.0,0.19465895637862732,0.19465895637862732,0.0,0.0,0.0,0.0
ddim_eps,pusht_aligned,uncertainty_aware_critic,8,8,1,0.3085356418409567,0.0,0.3085356418409567,0.3085356418409567,0.3256233325522897,0.0,0.3256233325522897,0.3256233325522897,0.3248861209692415,0.0,0.3248861209692415,0.3248861209692415,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,behavior_cloning_critic,1,1,1,0.06918107857215242,0.0,0.06918107857215242,0.06918107857215242,0.10229862654578521,0.0,0.10229862654578521,0.10229862654578521,0.09414521220548433,0.0,0.09414521220548433,0.09414521220548433,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,behavior_cloning_critic,1,8,1,0.06388875128052858,0.0,0.06388875128052858,0.06388875128052858,0.09396319622681765,0.0,0.09396319622681765,0.09396319622681765,0.08516071735442914,0.0,0.08516071735442914,0.08516071735442914,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,behavior_cloning_critic,2,1,1,0.06553233451870344,0.0,0.06553233451870344,0.06553233451870344,0.09688499545315168,0.0,0.09688499545315168,0.09688499545315168,0.0897507579053884,0.0,0.0897507579053884,0.0897507579053884,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,behavior_cloning_critic,2,8,1,0.07965144678753887,0.0,0.07965144678753887,0.07965144678753887,0.11016349715680156,0.0,0.11016349715680156,0.11016349715680156,0.10569847955874993,0.0,0.10569847955874993,0.10569847955874993,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,behavior_cloning_critic,4,1,1,0.047696826752593416,0.0,0.047696826752593416,0.047696826752593416,0.07740507893054713,0.0,0.07740507893054713,0.07740507893054713,0.06983152747130546,0.0,0.06983152747130546,0.06983152747130546,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,behavior_cloning_critic,4,8,1,0.08143227239199285,0.0,0.08143227239199285,0.08143227239199285,0.11243943382545118,0.0,0.11243943382545118,0.11243943382545118,0.1112249610692254,0.0,0.1112249610692254,0.1112249610692254,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,behavior_cloning_critic,8,1,1,0.02700060677611499,0.0,0.02700060677611499,0.02700060677611499,0.060014371134714604,0.0,0.060014371134714604,0.060014371134714604,0.053652464153538026,0.0,0.053652464153538026,0.053652464153538026,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,behavior_cloning_critic,8,8,1,0.05700426037334312,0.0,0.05700426037334312,0.05700426037334312,0.0851871159261802,0.0,0.0851871159261802,0.0851871159261802,0.08511169013393957,0.0,0.08511169013393957,0.08511169013393957,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,diffusion_internal_score,1,1,1,0.06918107857215243,0.0,0.06918107857215243,0.06918107857215243,0.10229862654578523,0.0,0.10229862654578523,0.10229862654578523,0.09414521220548434,0.0,0.09414521220548434,0.09414521220548434,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,diffusion_internal_score,1,8,1,0.06388875128052858,0.0,0.06388875128052858,0.06388875128052858,0.09396319622681765,0.0,0.09396319622681765,0.09396319622681765,0.08516071735442914,0.0,0.08516071735442914,0.08516071735442914,0.0,0.0,0.0,0.0
ddim_eps,pusht_high_temp_misaligned,diffusion_internal_score,2,1,1,0.07416370535873573,0.0,0.07416370535873573,0.07416370535873573,0.10411168648361364,0.0,0.10411168648361364,0.10411168648361364,0.0953076611499915,0.0,0.0953076611499915,0.0953076611499915,0.0,0.0,0.0,0.0
